,id_left,text_left,id_right,text_right,label
0,Q1793,when did hitler kill himself,D1695-1,Adolf Hitler committed suicide by gunshot on 30 April 1945 in his Führerbunker in Berlin.,1.0
1,Q1793,when did hitler kill himself,D2149-0,Propolis as hive sealing,0.0
2,Q1793,when did hitler kill himself,D50-0,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",0.0
3,Q1793,when did hitler kill himself,D2259-0,"Modesto ( Spanish for ""modest""), officially the City of Modesto, is the county seat and largest city of Stanislaus County , California , United States .",0.0
4,Q1793,when did hitler kill himself,D1894-3,"Mahindra has a huge consumer base in India, China and America and a growing base in Australia.",0.0
5,Q1793,when did hitler kill himself,D1959-6,"It is mainly used as a precursor to heavy chemicals, such as ethylbenzene and cumene , which are produced on a billion kilogram scale.",0.0
6,Q3037,What is an economic feature?,D2802-9,"At the turn of the 21st century, the expanding domain of economics in the social sciences has been described as economic imperialism .",1.0
7,Q3037,What is an economic feature?,D230-9,"In 1947, she married Prince Philip, Duke of Edinburgh , with whom she has four children: Charles , Anne , Andrew , and Edward .",0.0
8,Q3037,What is an economic feature?,D172-3,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.",0.0
9,Q3037,What is an economic feature?,D2087-0,"South Beach, also nicknamed SoBe, is a neighborhood in the city of Miami Beach , Florida , United States , located due east of Miami city proper between Biscayne Bay and the Atlantic Ocean .",0.0
10,Q3037,What is an economic feature?,D2159-3,"In men, testosterone plays a key role in the development of male reproductive tissues such as the testis and prostate as well as promoting secondary sexual characteristics such as increased muscle , bone mass, and the growth of body hair .",0.0
11,Q3037,What is an economic feature?,D1545-2,"The show stars Emmanuel Lewis in the title role as a young boy who, after losing his parents, is adopted by his NFL -pro godfather, portrayed by Alex Karras , and his new socialite wife, played by Susan Clark .",0.0
12,Q2233,what is bones job,D2103-1,"The show is based on forensic anthropology and forensic archaeology , with each episode focusing on an FBI case file concerning the mystery behind human remains brought by FBI Special Agent Seeley Booth ( David Boreanaz ) to the forensic anthropologist Dr. Temperance ""Bones"" Brennan ( Emily Deschanel ).",1.0
13,Q2233,what is bones job,D1509-7,"More explicitly, the International Astronomical Union (IAU) defines a dwarf planet as a celestial body in direct orbit of the Sun that is massive enough for its shape to be controlled by gravitation , but that unlike a planet has not cleared its orbital region of other objects.",0.0
14,Q2233,what is bones job,D1983-2,"He is most popularly regarded as the eldest son, though some traditions regard him as the second son.",0.0
15,Q2233,what is bones job,D1026-0,Christian right is a term used in the United States to describe right-wing Christian political groups that are characterized by their strong support of socially conservative policies.,0.0
16,Q2233,what is bones job,D2177-0,"Andy Samuel Griffith (June 1, 1926 – July 3, 2012) was an American actor, television producer, Grammy Award -winning Southern-gospel singer, and writer.",0.0
17,Q2233,what is bones job,D1356-1,"Some damages that might be under this category would be: aches, temporary and permanent limitations on activity, potential shortening of life, depression or scarring .",0.0
18,Q1893,when slavery abolished,D1790-11,"After the war, the Thirteenth Amendment , effective December 1865, abolished slavery throughout the entire United States, including the Border states and the Indian territories.",1.0
19,Q1893,when slavery abolished,D773-3,"Its basic function is to transport water, but it also transports some nutrients through the plant.",0.0
20,Q1893,when slavery abolished,D2475-0,"Poison dart frog (also dart-poison frog, poison frog or formerly poison arrow frog) is the common name of a group of frogs in the family Dendrobatidae which are native to Central and South America .",0.0
21,Q1893,when slavery abolished,D353-3,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards .",0.0
22,Q1893,when slavery abolished,D428-12,"The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth.",0.0
23,Q1893,when slavery abolished,D212-9,"He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI).",0.0
24,Q2012,what is middle class in the us,D1898-2,"Depending on class model used, the middle class may constitute anywhere from 25% to 66% of households.",1.0
25,Q2012,what is middle class in the us,D2802-8,"Economic analysis may be applied throughout society, as in business , finance , health care , and government, but also to such diverse subjects as crime, education , the family , law , politics , religion , social institutions , war, and science .",0.0
26,Q2012,what is middle class in the us,D793-0,"The Bloody Beetroots is the pseudonym of Sir Bob Cornelius Rifo, the Italian electro house and dance-punk music producer , DJ and photographer .",0.0
27,Q2012,what is middle class in the us,D1744-1,"It was released to the public on March 14, 2011.",0.0
28,Q2012,what is middle class in the us,D1643-1,"Elizabeth Cady Stanton (November 12, 1815 – October 26, 1902) was an American social activist , abolitionist, and leading figure of the early women's rights movement .",0.0
29,Q2012,what is middle class in the us,D2778-3,"Basque ( endonym : , ) is the ancestral language of the Basque people , who inhabit the Basque Country , a region spanning an area in northeastern Spain and southwestern France .",0.0
30,Q444,how many redwall books are there,D439-3,There have been twenty-two novels and two picture books published.,1.0
31,Q444,how many redwall books are there,D1467-0,"The Windows Installer (previously known as Microsoft Installer) is a software component used for the installation, maintenance, and removal of software on modern Microsoft Windows systems.",0.0
32,Q444,how many redwall books are there,D1884-0,"RMS Titanic was a British passenger liner that sank in the North Atlantic Ocean on 15 April 1912 after colliding with an iceberg during her maiden voyage from Southampton , UK to New York City , US.",0.0
